recency,frequency,monetary,normalized_recency,normalized_frequency,normalized_monetary,fcm_cluster,k_means_cluster,Cluster_name
205,8,34742,3,5,5,3,3,Champions
26,8,21445,5,5,5,0,3,Champions
437,4,7752,2,3,3,2,0,About to Sleep
455,2,1763,2,1,1,1,1,Hibernating
46,6,16642,5,5,5,0,3,Champions
51,3,6441,5,2,2,3,3,Champions
288,5,11254,2,4,4,2,0,Potential Loyalist
180,6,16043,3,5,5,3,3,Champions
179,3,10254,3,2,4,2,4,Loyal Customer
63,4,8867,5,3,3,0,3,Champions
231,5,12402,3,4,4,3,0,Potential Loyalist
154,4,9202,3,3,3,2,0,Potential Loyalist
34,8,21441,5,5,5,0,3,Champions
224,1,2148,3,1,1,1,1,Hibernating
124,6,9791,4,5,4,0,3,Champions
356,2,1233,2,1,1,1,1,Hibernating
53,3,7642,5,2,3,0,4,Loyal Customer
132,5,10866,4,4,4,3,3,Champions
669,2,6265,1,1,2,1,1,Hibernating
392,2,4564,2,1,2,4,2,Hibernating
27,3,9095,5,2,3,0,4,Loyal Customer
328,2,3846,2,1,1,1,1,Hibernating
289,3,6165,2,2,2,4,2,About to Sleep
298,5,8172,2,4,3,2,0,Potential Loyalist
978,1,5690,1,1,2,1,1,Hibernating
59,2,3726,5,1,1,2,0,Potential Loyalist
286,4,12557,2,3,4,2,0,About to Sleep
11,6,10348,5,5,4,0,3,Champions
17,6,6269,5,5,2,0,3,Champions
62,9,17302,5,5,5,0,3,Champions
0,5,6326,5,4,2,0,3,Champions
11,7,14785,5,5,5,0,3,Champions
50,2,5466,5,1,2,3,4,Loyal Customer
171,5,9107,3,4,3,2,0,Potential Loyalist
509,4,20499,1,3,5,4,2,About to Sleep
483,2,1117,1,1,1,1,1,Hibernating
322,3,8071,2,2,3,4,2,About to Sleep
223,1,3976,3,1,2,4,2,About to Sleep
288,5,6891,2,4,3,2,0,Potential Loyalist
233,4,9709,3,3,4,3,4,Loyal Customer
36,5,13392,5,4,4,0,3,Champions
540,4,6431,1,3,2,4,2,About to Sleep
401,3,9259,2,2,3,4,2,About to Sleep
629,1,5590,1,1,2,1,1,Hibernating
437,3,9114,2,2,3,4,2,About to Sleep
348,6,18851,2,5,5,3,0,Potential Loyalist
24,6,16054,5,5,5,0,3,Champions
17,4,9048,5,3,3,0,3,Champions
109,6,9247,4,5,3,0,3,Champions
291,2,9710,2,1,4,4,2,About to Sleep
340,5,14528,2,4,5,2,0,Loyal Customer
84,3,6238,4,2,2,2,0,Potential Loyalist
333,4,3857,2,3,1,4,1,Hibernating
6,7,13078,5,5,4,0,3,Champions
178,4,7277,3,3,3,2,0,Potential Loyalist
125,5,20221,4,4,5,3,3,Champions
95,5,11169,4,4,4,3,3,Champions
712,2,7863,1,1,3,4,2,About to Sleep
29,3,10573,5,2,4,0,4,Loyal Customer
240,4,3737,3,3,1,2,0,Potential Loyalist
325,4,11724,2,3,4,2,0,About to Sleep
39,6,17187,5,5,5,0,3,Champions
9,3,9092,5,2,3,0,4,Loyal Customer
541,1,1486,1,1,1,1,1,Hibernating
62,5,14436,5,4,5,0,3,Champions
149,5,21522,4,4,5,3,3,Champions
458,4,18604,1,3,5,4,2,About to Sleep
170,4,13090,3,3,4,3,4,Loyal Customer
39,3,3682,5,2,1,3,0,Potential Loyalist
505,3,8850,1,2,3,4,2,About to Sleep
197,7,16337,3,5,5,3,3,Champions
1067,1,6800,1,1,3,4,2,About to Sleep
